business_id,review_text,review_star,positive_phrases,positive_polarity,negative_phrases,negative_polarity
jKhfsXol4FxbRjK8aUsLA,"Well I wish I could say something positive but I  honestly have never have waited this long at any little ceasers. I'm actually writing this review while I'm still sitting in the lobby.

I got here at 930pm, and it's now 10:04. When I ordered the guy behind the counter wasn't happy that I was here, but there was 5 other people waiting for pizza. 

I talked to some of them about their orders and everyone except for one person had only ordered 2 hot and readys. The other person only one.

Not only that but I would not recommend coming to this place late at night. Tons of sketchy people, bums, and people asking for money. I never thought I would be complaining about speed from lil ceasers.

And now they are complaining about the amount of people/orders they have to deal with it. I get it, it sucks that we ordered before you closed, but I was even here 30 minutes prior and I'm still waiting.

If you want pizza, order delivery. You will get it faster, not wait in a lobby for 30 minutes, and save on gas!",1,[],0,"[u' little ceasers', u"" n't happy""]",-0.5875
jKhfsXol4FxbRjK8aUsLA,"My kids insisted on trying the Bacon Wrapped Deep Dish Pizza which surprisingly enough is not bad. Also, apparently everything is now part of the hot and ready so you can just stop in and pick up a pizza to go.

While I still prefer other pizza places, this is a good option for a cheap and quick meal.",3,"[u' not bad', u' good option', u' quick meal']",1.383333333,[],0
jKhfsXol4FxbRjK8aUsLA,"Worst customer service from the little girl who worked when I went in this afternoon around 4:15. She didn't make eye contact with me and she was rushing me and interrupted me while I was order to finish what I was saying. Customer service should always count, even in a small joint.",1,[],0,"[u' little girl', u' small joint']",-0.4375
jKhfsXol4FxbRjK8aUsLA,"Strange, as a kid for I remember that I did not like the pizza they have. So for the last, say 15 years I avoided them. Well, for what ever reason I decide to get a pizza from them. And I was surprised.  The pizza was good. 

I did not have their deep dish as, in general I don't like thick crust, but what I did have was wonderfully good. And I will be eating more here.",4,[u' wonderfully good'],0.7,[u' thick crust'],-0.3
jKhfsXol4FxbRjK8aUsLA,Best $8 deep dish pizza I have had in a while. Food is hot and ready just as advertised and makes for a quick easy meal when your on the go!,5,[u' easy meal'],0.433333333,[],0
jKhfsXol4FxbRjK8aUsLA,"$5 for a large pepperoni. That's cheaper than some frozen pizza. 

For the price, it's not bad. Sometimes I'll call ahead and order a custom pizza. They always come out better. I guess because it will be right from the oven instead of the warmer. 

Always check your pizza. One time they forgot to cut mine.",3,[u' not bad'],0.35,[],0
jKhfsXol4FxbRjK8aUsLA,"I was looking for something quick & cheap for lunch today. I saw a sign for Little Caeser's & stopped inside. I got a large hot & ready pepperoni pizza with an order of crazy bread & dipping sauce for only $8. The pizza wasn't bad, I've definitely had worse. The crazy bread was awesome. I'd come here again for lunch if I was in a hurry & didn't want to spend much.",2,"[u' ready pepperoni', u"" n't bad""]",0.55,"[u' crazy bread', u' crazy bread']",-1.2
jKhfsXol4FxbRjK8aUsLA,"Scummy area that smacks of bad news, but the staff has remarkable work ethic and the pizza is predictably good. I dig the crazy bread best. I would like to try the deep dish sometime. The gal working the register exchanged some small talk about hair dye and was really personable. The pizza and breadsticks didn't take long, and was the usual greasy + tasty combo I expect at Little Caesar's.",4,"[u' remarkable work', u' predictably good']",1.45,"[u' bad news', u' crazy bread', u' small talk']",-1.55
KWTv8elo9HiN9sIKvN0_bQ,"If you are in the area, craving some Chinese food, stop here.  That's it, this is by far some of the best Chinese food I have had in Arizona.  If that does not get you motivated wait till you see the prices....

The lunch specials are priced at $4.55 for a combo plate and $5.55 for the shrimp combo plates. With 20 different combos I am sure you will find something you like.  A soda will set you back $1.25 or go for 1 can of soda for .85 cents.  Hot tea and water was my choice.

The Restaurant just opened last month so it still needs some work....Some empty fish tanks, needs some ceiling pieces replaced, but it really is a great place for authentic fast food Chinese.  I wish this place was closer to my home since they offer delivery. Yes you have to spend over $12.00 for delivery, but that would be easy for dinner or an office ordering lunch.

If you are craving dinner and are on a budget you can still eat here.  Not one plate on the menu is over $8.00!  I think I ordered enough to feed a family 2 nights in a row, plus lunch for work and for about $30. 

OK so if price does not entice you the fresh food and delicious entrees will.  We ordered several different dishes and I cannot complain about any of them.  We loved the lo mein, beef egg foo young, Mongolian beef, fried rice, and cashew shrimp.  They gave us plenty of crab puffs for free as well plus a large container of white rice.  I generally am not a fan of the crab puffs, but the cream cheese was fresh and the fried puff seemed to be light and crispy.  

If you are on a diet or really watching your calorie intake they even have lo cal entrees on the menu, not the norm at a Chinese Restaurant.  Chicken, shrimp, or a vegetable plate for you serious calorie number watchers.

My family and I all loved the food here.  I hope you will give them an opportunity to earn your business.  The price for food is excellent and what shocked me more is the food is excellent.  Based on Max's review I gave it a shot and now my whole family is thanking me for a new found place to eat.  Thanks Max A.",5,"[u' great place', u' authentic fast', u' fresh food', u' delicious entrees']",2.45,[u' serious calorie'],-0.333333333
KWTv8elo9HiN9sIKvN0_bQ,Great food! Fast service. Love how they give you some soup as an appetizer for free. Yummyy C:,5,[u' Great food'],0.8,[],0
